roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.56498,3.3655,4.7162,0.68056,1.3648,0.7834399999999999,1.0617,2.0622,0.16733,0.002543,5e-06,0.0,0.0,0.0,0.0,86.819,90.96,12.399000000000001,17.113,17.176,17.73,-0.19221,-0.13789,1.5272,4.0637,3.9253,5.0487,0.12275,0.9869399999999999,0.27354,0.9418700000000001,1
0.42368999999999996,3.0577,5.4461,0.8543200000000001,1.9240000000000002,0.7728,1.1288,2.2711,0.19764,0.012898,0.000153,2.1e-05,0.0,2e-06,0.0,86.54700000000001,90.012,24.639,18.985,18.822,24.973000000000003,0.049932,-0.19863,0.76058,3.7409,4.0344,2.6332,0.12592,0.98851,0.24222,0.9401299999999999,1
0.42867,3.3625,5.4143,0.79213,1.6384,0.77415,1.1068,2.3111,0.18155,0.006889,0.000124,1.2e-05,0.0,1e-06,0.0,88.01,89.305,23.116,19.122,19.208,24.76,-0.15477,-0.40386,0.81429,3.8842,4.1186,2.7028,0.12454000000000001,0.9883700000000001,0.23769,0.9403100000000001,1
0.48415,3.1283,5.0946,0.80862,1.6997,0.77491,1.0996,2.1658,0.18454,0.008034999999999999,0.00010400000000000001,1.2e-05,0.0,1e-06,0.0,85.29899999999999,85.631,32.549,17.861,18.218,24.58,-0.088947,-0.32615,0.35318,4.2151,4.4908,2.3793,0.12661,0.98819,0.25138,0.94052,1
0.37982,3.531,5.752000000000001,0.80313,1.6784,0.76904,1.1027,2.4399,0.18482,0.007741,5.5e-05,1.2e-05,0.0,1e-06,0.0,83.3,87.87799999999999,12.59,15.997,15.571,18.096,0.47723999999999994,0.30543000000000003,1.7493,5.4688,5.4606,6.0907,0.11794,0.9891399999999999,0.29638000000000003,0.9453799999999999,1
0.43733,3.4645,5.3604,0.7665,1.557,0.77868,1.0942,2.3083,0.17652,0.005391,2e-05,1e-06,0.0,0.0,0.0,90.551,92.713,36.213,16.003,16.253,21.999000000000002,0.048398000000000004,-0.12153,0.021137,4.7123,4.4458,2.4851,0.12072000000000001,0.9878299999999999,0.26038,0.9422,1
0.42639,3.2939,5.4288,0.79945,1.6647,0.7738,1.1237,2.3123,0.18297,0.007384,9.499999999999999e-05,1.2e-05,0.0,1e-06,0.0,81.99700000000001,82.15899999999999,18.076,16.942,17.896,22.258000000000003,0.18903,-0.060205999999999996,1.1208,3.8612,4.0364,3.3753,0.13167,0.9891,0.25378,0.9376899999999999,1
0.48035,2.9964,5.1148,0.8337200000000001,1.811,0.77232,1.1147,2.1519,0.19124000000000002,0.010376999999999999,0.00011899999999999999,2.1e-05,0.0,2e-06,0.0,77.937,79.684,12.627,20.802,20.671999999999997,20.828000000000003,-0.050176,-0.13267,1.6173,3.1741,3.2084,4.6986,0.14403,0.9885,0.2203,0.9316399999999999,1
0.41133000000000003,3.3164,5.5273,0.8126,1.7158,0.77171,1.1177,2.3419,0.18616,0.008419,1.2e-05,3e-06,0.0,0.0,0.0,80.476,82.244,12.056,16.304000000000002,16.722,17.614,-0.025335,-0.23233,1.7258,5.2513,5.3833,6.1175,0.13438,0.98785,0.26266999999999996,0.9373299999999999,1
0.42552,3.4929,5.4343,0.75466,1.5241,0.7786,1.112,2.3453,0.17501,0.004855,1.6e-05,1e-06,0.0,0.0,0.0,70.583,73.788,3.7101,16.678,16.927,10.987,0.13055,0.039005,3.9915,5.0501,4.8991,22.436,0.14407,0.98844,0.22668000000000002,0.9317700000000001,1
