roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.47308,3.0572,5.1539,0.81643,1.7318,0.78023,1.1316,2.193,0.18498,0.00855,3e-06,0.0,0.0,0.0,0.0,86.175,94.84200000000001,3.4493,18.49,17.718,9.9996,-0.515,-0.52031,3.9425,4.445,4.3534,22.973000000000003,0.11596,0.9889399999999999,0.27402,0.94547,1
0.35108,3.5907,5.9827,0.7874800000000001,1.6225,0.7751899999999999,1.1517,2.5585,0.18051,0.006581,3e-06,1e-06,0.0,0.0,0.0,82.544,86.26799999999999,18.465999999999998,17.245,17.295,20.217,0.33898,0.059226,1.0958,5.1332,4.973,3.7389,0.13744,0.98621,0.27154,0.9361,1
0.45621999999999996,3.252,5.2483,0.7765,1.587,0.7761899999999999,1.1287,2.2516,0.17852,0.005936,2.7000000000000002e-05,3e-06,0.0,0.0,0.0,74.744,77.14699999999999,6.1317,17.451,17.69,13.814,0.15599000000000002,0.031601,2.7219,4.2396,4.1775,11.189,0.15172,0.9877100000000001,0.22708000000000003,0.9291200000000001,1
0.47939,3.2671,5.1199,0.79032,1.6321,0.77775,1.0818,2.1915,0.18039000000000002,0.006711,7.7e-05,9e-06,0.0,1e-06,0.0,85.26899999999999,84.62200000000001,20.738000000000003,17.985,18.843,22.999000000000002,-0.24923,-0.37778,0.81324,3.5162,3.7082,2.6205,0.13242,0.9874799999999999,0.23668000000000003,0.93691,1
0.43504,3.3526,5.3745,0.78962,1.6297,0.7790699999999999,1.1084,2.3029,0.17997,0.006645,3.7e-05,3e-06,0.0,0.0,0.0,90.781,93.984,40.9,16.67,16.570999999999998,20.993000000000002,-0.22771,-0.39433,-0.13858,4.6923,4.8258,2.7288,0.12072999999999999,0.98766,0.24898,0.9424799999999999,1
0.5002,3.2213,5.0123,0.75369,1.5215,0.77657,1.1116,2.1607,0.17535,0.004839,0.00010700000000000001,3e-06,0.0,0.0,0.0,83.751,86.20200000000001,28.756,16.089000000000002,16.351,21.826,-0.11967,-0.28259,0.30356,4.6027,4.7815,2.2848,0.12138,0.9886299999999999,0.27503,0.94281,1
0.49396999999999996,3.3581,5.0438,0.72143,1.4441,0.77898,1.1032,2.1888,0.17142000000000002,0.003636,1.9e-05,0.0,0.0,0.0,0.0,70.342,76.622,2.2008,17.557000000000002,16.76,9.0379,0.20718000000000003,0.20427,5.8634,5.2589999999999995,4.8801,47.482,0.16977,0.9857299999999999,0.21891999999999998,0.9222,1
0.41539,3.5262,5.5002,0.76248,1.5456,0.77194,1.1023,2.3601,0.17752,0.005293,7.4e-05,9e-06,0.0,1e-06,0.0,80.278,84.527,14.109000000000002,15.468,15.425999999999998,18.327,0.15206,0.069004,1.4376,4.9355,4.6675,4.9248,0.11485,0.9897,0.28748,0.9458700000000001,1
0.46052,3.234,5.2237,0.80047,1.6684,0.77883,1.1036,2.2315,0.18199,0.007359999999999999,3.2e-05,4e-06,0.0,0.0,0.0,85.355,90.581,15.939,18.070999999999998,17.873,19.734,-0.28062,-0.3335,1.1633,4.2185,4.217,3.6536,0.11544000000000001,0.98908,0.26547,0.9454899999999999,1
0.4796,3.2283,5.1188,0.75335,1.5206,0.78009,1.1357,2.2118,0.17452,0.0047810000000000005,3e-06,0.0,0.0,0.0,0.0,87.17200000000001,90.935,6.0896,17.323,17.811,13.138,-0.27036,-0.26133,2.719,4.0453,3.8655,11.776,0.12605,0.98814,0.26361,0.94052,1
0.20676999999999998,4.635,7.7957,0.61592,1.2693,0.69697,1.2463,3.2311,0.18447,0.001865,0.000239,0.0,0.0,0.0,0.0,70.962,69.322,8.8364,13.003,14.682,13.593,0.40047,0.39216999999999996,2.1295,6.8133,6.0971,8.6785,0.11423,0.99246,0.32373,0.94619,2
0.26766999999999996,4.5378,6.8518,0.5673199999999999,1.2143,0.73883,1.1778,2.9309,0.17239000000000002,0.001093,0.00011899999999999999,0.0,0.0,0.0,0.0,69.524,65.486,6.9101,12.839,15.298,11.685,0.67183,0.30576,2.6352,8.1038,6.0439,12.329,0.12030999999999999,0.99229,0.28603,0.94237,2
0.22265,4.9451,7.5126,0.6587,1.3291,0.71591,1.115,3.1464,0.18172,0.002534,0.000125,1e-06,0.0,0.0,0.0,92.73899999999999,100.59,0.37456999999999996,17.269000000000002,15.895999999999999,4.6838,-0.47398999999999997,-0.8534299999999999,18.264,6.0763,6.6237,412.94,0.1299,0.98845,0.28781,0.9372299999999999,2
0.19925,5.1311,7.9415,0.6209600000000001,1.2758,0.69015,1.1384,3.2744,0.18652,0.0019850000000000002,0.000202,1e-06,0.0,0.0,0.0,80.14699999999999,90.71,0.27298,16.262999999999998,14.799000000000001,3.9162,-0.54685,-0.67476,19.63,6.0360000000000005,6.3581,470.51,0.08817699999999999,0.99279,0.33946,0.9587200000000001,2
0.22737,4.9433,7.4343,0.43987,1.1135,0.68704,1.1813,3.0766,0.18299,0.000384,0.00043799999999999997,2e-06,0.0,0.0,0.0,77.92699999999999,86.616,0.1378,16.043,14.683,2.8369,-0.53584,-0.60725,28.833000000000002,5.9675,5.9927,1018.3,0.087931,0.9932200000000001,0.3444,0.95968,2
0.18419000000000002,5.2836,8.2599,0.7114699999999999,1.4231,0.7073,1.1021,3.42,0.18784,0.004052,1.9e-05,2e-06,0.0,0.0,0.0,98.72,102.87,1.5251,16.707,15.684000000000001,7.5909,-0.48283999999999994,-1.0447,7.5156,6.9181,8.249,76.44800000000001,0.11922,0.9890000000000001,0.28497,0.9425899999999999,2
0.2229,4.8933,7.5084,0.52271,1.173,0.70589,1.1903,3.1442,0.17934,0.000805,0.000305,6e-06,0.0,0.0,0.0,92.184,99.65100000000001,0.42888000000000004,16.261,15.161,4.9902,-0.43108,-0.79828,15.495999999999999,6.364,6.7368,289.54,0.11329000000000002,0.9896799999999999,0.29496999999999995,0.9462,2
0.19588,4.9786,8.0096,0.66486,1.3387,0.6814899999999999,1.1479,3.2712,0.19128,0.002945,0.000229,1e-06,0.0,0.0,0.0,87.369,94.975,0.47494,17.852999999999998,16.277,5.1392,-0.35619,-0.6606,15.158,5.7688,6.2035,281.6,0.10297,0.99135,0.31969000000000003,0.9513,2
0.24418,4.5275,7.1739,0.38341,1.0827,0.66179,1.2388,2.9157,0.18947999999999998,0.000226,0.000317,1e-06,0.0,0.0,0.0,92.568,98.758,1.4854,13.433,13.288,7.2331,-0.45137,-0.77586,7.7667,8.2362,8.6219,85.28299999999999,0.10207000000000001,0.99105,0.32796,0.9526700000000001,2
0.22296999999999997,4.6016,7.5072,0.51298,1.165,0.69366,1.2589,3.1171,0.18231,0.000763,0.00023700000000000001,2e-06,0.0,0.0,0.0,76.374,80.535,2.2338,15.624,15.035,8.3319,0.48708,0.14051,6.0621,5.6233,5.474,51.163000000000004,0.11070999999999999,0.99192,0.32599,0.9466600000000001,2
0.30688000000000004,4.1708,6.3991,0.4863,1.1444,0.7207,1.2175,2.7101,0.17502,0.000551,0.000182,1e-06,0.0,0.0,0.0,80.686,91.48,0.46232,17.718,16.395,4.3696,-0.36988000000000004,-0.52779,14.645999999999999,4.7217,4.9348,273.72,0.080808,0.9935799999999999,0.32719000000000004,0.96044,2
0.28617,4.5044,6.6266,0.47143999999999997,1.1339,0.70324,1.1585,2.773,0.17915,0.000502,0.000872,1e-06,0.0,0.0,0.0,84.90700000000001,79.523,21.451,11.698,13.282,15.849,0.061424,0.05135599999999999,0.5326,8.6952,6.5826,3.1204,0.062874,0.9950700000000001,0.35466,0.9698100000000001,2
0.33175,3.9972,6.1546,0.60755,1.2590000000000001,0.7052,1.1523,2.5672,0.18198,0.001696,0.00019099999999999998,0.0,0.0,0.0,0.0,77.628,80.559,0.60546,15.212,15.956,4.5853,0.080948,-0.16424,12.014000000000001,5.0175,4.0969,192.79,0.090515,0.99326,0.30335,0.95589,2
0.26515,4.6263,6.8842,0.43291,1.1093,0.70422,1.1856,2.8847,0.17845999999999998,0.00033999999999999997,7.099999999999999e-05,4e-06,0.0,0.0,0.0,64.225,64.325,1.1046,13.231,14.639000000000001,5.7485,0.45869,0.35513,8.0997,6.4637,5.6817,88.441,0.099267,0.99387,0.32034,0.95326,2
0.3316,4.2586,6.156000000000001,0.46021000000000006,1.1264,0.69586,1.1362,2.5631,0.18091,0.000459,0.00016299999999999998,7.000000000000001e-06,0.0,0.0,0.0,78.756,80.602,0.23246999999999998,15.579,17.034000000000002,3.7029,0.1679,-0.16766,20.658,5.6173,4.5721,495.27,0.10275,0.99192,0.28562,0.95049,2
0.26766,4.4114,6.852,0.5098699999999999,1.1625,0.7180300000000001,1.2207,2.8949,0.17606,0.000692,6.9e-05,0.0,0.0,0.0,0.0,71.169,73.655,1.4047,13.819,14.727,6.7752,0.33787,0.11474000000000001,7.685,6.0291,5.4982,80.99600000000001,0.14249,0.98992,0.24982,0.9310200000000001,2
0.30609000000000003,4.001,6.4073,0.49718,1.1525,0.7107399999999999,1.2576,2.6941,0.17765,0.000628,0.000177,0.0,0.0,0.0,0.0,61.293,63.78,0.70189,14.138,15.911,4.723,0.29301,0.090576,10.49,5.9317,4.9463,149.98,0.10103999999999999,0.99387,0.32316,0.95191,2
0.22699,4.775,7.4404,0.46978000000000003,1.1328,0.69853,1.2236,3.1033,0.18034,0.0005,4.3e-05,3e-06,0.0,0.0,0.0,74.721,71.442,3.8776,12.442,14.363,9.8066,0.49208,0.18686,4.0223,6.8855,5.9698,24.404,0.12440999999999999,0.99149,0.27185,0.94055,2
0.22844,4.5589,7.4169,0.63686,1.2971,0.69615,1.1919,3.0682,0.18567,0.002231,0.000106,1e-06,0.0,0.0,0.0,71.829,73.061,5.6045,14.133,15.306,12.329,0.27976,0.17712,3.6732,6.3804,5.5143,22.295,0.11578,0.99218,0.28586,0.9449700000000001,2
0.33147,4.0179,6.1572,0.4987,1.1537,0.7209899999999999,1.2114,2.6074,0.17515,0.0006190000000000001,0.00022,6e-06,0.0,0.0,0.0,67.179,71.835,2.2314,14.104000000000001,14.459000000000001,7.1868,0.12568,0.018265,5.5406,5.992999999999999,5.4062,46.978,0.12422000000000001,0.9919,0.29203,0.9397,2
